url,type,country
https://www.finra.org/filing-reporting/trace/treasury-aggregate-statistics,Central Bank/Regulator,US
https://www.financialresearch.gov/treasury-market-dashboard/,Central Bank/Regulator,US
https://www.fhfa.gov/DataTools/Downloads/Pages/House-Price-Index.aspx,Central Bank/Regulator,US
https://www.freddiemac.com/pmms,Other Services,US
https://www.atlantafed.org/,Central Bank/Regulator,US
https://www.eia.gov/,Government/Treasury,US
https://www.tsa.gov/coronavirus/passenger-throughput,Government/Treasury,US
https://www.reuters.com/markets/,News & Media,International
https://www.wsj.com/news/markets,News & Media,US
https://www.bloomberg.com/markets,News & Media,US
https://www.cnbc.com/world/?region=world,News & Media,US
https://www.mba.org/news-and-research/surveys-and-indices/mortgage-applications,Other Services,US
https://capitalmarkets.fanniemae.com/tools-resources/mortgage-backed-securities,Other Services,US
https://www.freddiemac.com/mbs/html/disclosure_data.html,Other Services,US
https://www.ginniemae.gov/investors/disclosures/Pages/default.aspx,Other Services,US
https://www.spglobal.com/spdji/en/,Data Provider,US
